indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
162,17666,19863,24230,28577,31864,32991,36588,41570,37843,38646,37771,37044,36816,36452,36086,37604,40284,45404,42178,38545,42585,44507,45688,32300
163,18218,19865,24591,29530,33245,32906,37542,39145,39159,39488,37853,35986,36403,37534,35708,36963,40092,42759,41944,38861,41671,44056,47182,32500
164,17172,19023,22282,27147,31962,32432,36302,38278,37366,38531,36878,35064,36135,35757,35731,36151,37795,42401,41867,37515,41252,42414,44829,32700
165,16533,18872,21845,27342,29391,33543,36005,38246,37126,38344,37332,36412,36667,36057,34807,36505,39290,42550,42476,37024,42075,43024,47037,32900
166,16967,19562,21969,26221,30248,33299,37232,38312,38294,37399,38659,35669,36547,36118,36153,36322,37880,41991,45892,38351,41031,43559,47596,33100
167,15778,17882,20572,26660,29865,32721,35353,38178,37728,36375,36692,36045,33829,33257,34777,35586,36016,40154,43229,36816,39626,42465,45414,33300
168,15469,17588,19449,23877,29048,32664,33186,38422,35908,35753,37268,34698,34270,33177,35479,35442,35803,38806,43212,37295,39414,41802,44845,33500
169,15979,18194,21606,24990,29753,34002,34436,36686,36575,36815,37155,34621,34336,34773,34027,35505,36020,38266,45085,41322,40600,41376,45777,33700
170,14979,17127,19220,22683,29202,32094,32783,36541,36184,35472,34857,33714,33414,33051,34205,35331,35929,38482,43553,38601,39268,43061,44601,33900
171,14912,16916,20080,21608,27378,31595,33796,37012,35843,34903,35201,32705,33119,32832,34316,33795,36754,37359,43331,38055,42470,41010,43274,34100
172,14621,16401,19321,20864,26261,29894,31447,34921,34157,34674,33110,31960,32040,31636,32160,33822,35227,37451,42022,39179,39711,40316,42868,34300
173,14804,15983,18902,19971,25933,29770,31415,34652,34171,34805,33934,32337,31672,31867,32696,33811,35146,37426,39871,40064,40452,40289,42148,34500
174,13849,15832,18323,20211,24247,29801,32028,34444,34224,33216,32229,31442,31790,31481,30515,32508,34929,38175,39282,39388,43881,39001,41215,34700
175,14027,15606,18011,18985,23687,30212,30725,33462,32563,33929,32692,31584,30819,30152,30722,32598,33374,38035,38937,40795,40758,39881,42610,34900
176,13542,15137,17366,20744,23956,29612,33848,35384,35087,34218,35296,32387,32683,32199,32010,33369,34685,39035,41050,40548,43037,42910,44067,35100
177,13111,14950,16242,19838,21624,29541,32261,32966,33267,31979,31842,30474,30086,29313,30025,31207,32087,35972,37995,38256,43723,43847,40759,35300
178,12855,14493,16513,18890,20708,27489,32014,31907,34112,32567,32171,30086,30327,29864,30894,31214,30302,34147,37202,37594,39404,41124,41779,35500
179,12710,14136,16410,18690,19986,26260,31329,31929,31474,31430,32047,30019,29609,29347,29794,29495,30381,33598,38057,37435,40200,41876,40274,35700
180,12116,13856,16192,18956,19825,26807,31498,30611,31552,30529,31139,30540,29105,29347,29601,31145,29572,32799,36588,36824,40400,43428,41237,35900
181,14670,16408,18623,20736,23510,29314,34535,35375,36268,35214,35328,33616,32990,32168,32582,32899,32636,35632,39811,40600,42332,47861,44944,36100
182,11660,13600,15567,16929,19701,24747,28351,30635,30386,29619,30552,30082,29084,29073,28638,29277,30163,32272,35962,36639,39752,41465,42761,36300
183,11524,13395,15630,16863,20132,23698,29722,31981,30630,30677,30751,28884,29116,29848,28015,28971,29468,30948,34250,36081,38272,42432,40783,36500
